Author,Pub Date,Rating,Substance,Title,href
Uncle Iroh,Oct 26 2018,Highly Recommended,LSD,My Minidose Manifesto,exp.php?ID=112505
Spooky,Apr 19 2016,Highly Recommended,LSD,Physics at the Edge of the Universe,exp.php?ID=69866
Lokapalas,Nov 28 2013,Highly Recommended,LSD,Somatic Vision and Cosmic Consciousness,exp.php?ID=77462
Gwern.net,Oct 23 2013,Highly Recommended,LSD,LSD Microdosing RCT,exp.php?ID=101638
triptacular,Dec 4 2012,Highly Recommended,LSD,It Can Be Whatever I Want It to Be,exp.php?ID=88486
Noname12,Sep 26 2012,Highly Recommended,LSD,Arrested,exp.php?ID=76778
DeWitt,Apr 10 2012,Highly Recommended,LSD,So Sure I Could Handle It,exp.php?ID=93659
Tim K,Mar 23 2010,Highly Recommended,LSD,Sipping on the World Syrup,exp.php?ID=83544
Halcyon,Oct 30 2008,Highly Recommended,LSD,A Life Cycle,exp.php?ID=73418
LucidStudies,Aug 23 2008,Highly Recommended,LSD,Breakthrough on Bicycle Day,exp.php?ID=69999
BigChief,Apr 17 2008,Highly Recommended,LSD,Ego-Death and Profound Insights,exp.php?ID=69386
mr. yukk,Oct 31 2007,Highly Recommended,LSD,'It's Fake....Let's Eat It All' (WRONG!),exp.php?ID=52084
M Rossman,Mar 9 2006,Highly Recommended,LSD,My Father Takes A Trip,exp.php?ID=51368
Space Commander B,Oct 27 2005,Highly Recommended,LSD,The Pyrotenknik Lightning Bubble,exp.php?ID=39028
Normal,Mar 31 2003,Highly Recommended,LSD,Pretty Powerful Stuff,exp.php?ID=7528
Tristan Haze,Oct 28 2002,Highly Recommended,LSD,Use Caution When Dosing,exp.php?ID=17624
eternalemily,Oct 7 2018,Recommended,LSD,Eternity & the Productions of Time,exp.php?ID=112422
Scudder,Sep 29 2018,Recommended,LSD,Grateful for My Sitter,exp.php?ID=112379
Logan O.,Jul 4 2018,Recommended,LSD,Ride The Lightning,exp.php?ID=112070
Ephraim Rage,Jun 6 2018,Recommended,LSD,Ego Death,exp.php?ID=88579
Riggs,Apr 19 2018,Recommended,LSD,From Confusion to Peace,exp.php?ID=68891
Lucy,Mar 6 2018,Recommended,LSD,An Unexpectedly Blissful Trip,exp.php?ID=111678
Intronaut,Dec 7 2017,Recommended,LSD,Mind's Eye,exp.php?ID=107228
Logan MacIntyre,Nov 5 2016,Recommended,LSD,Insight,exp.php?ID=106589
Zevon Starship,May 4 2015,Recommended,LSD,Range of Emotion,exp.php?ID=86012
Lucy,Apr 22 2013,Recommended,LSD,The Infinite Beauty of the Snow,exp.php?ID=99985
Myron Stolaroff,Apr 1 2013,Recommended,LSD,"Report of Session of M.J. Stolaroff, 16 Apr 1956",exp.php?ID=99779
Ronin,Jan 4 2013,Recommended,LSD,New Respect for a Drug,exp.php?ID=68795
Mr. Chaos,Dec 27 2012,Recommended,LSD,The 24 Hour Electric Bubblegum Fiasco,exp.php?ID=83671
mere,Dec 21 2012,Recommended,LSD,Deluge of Experience,exp.php?ID=89094
mollyg,Dec 12 2012,Recommended,LSD,Halloween Town,exp.php?ID=98027
Shulgins Cat,Nov 28 2012,Recommended,LSD,Apocalyptic Nightmare,exp.php?ID=90041
Starrness,Nov 9 2012,Recommended,LSD,Acid Rain,exp.php?ID=83138
D,Oct 23 2012,Recommended,LSD,My First Difficult Experience...,exp.php?ID=69495
Krullor,Oct 21 2012,Recommended,LSD,Lack of Concept,exp.php?ID=72025
Goose,Oct 3 2012,Recommended,LSD,The Best Tripnic,exp.php?ID=96427
